11 400
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
1 2 3 5 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
1 2 3 6 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
1 2 3 7 4 5 6 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
1 2 3 8 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22
1 2 3 9 4 5 6 7 8 10 11 12 13 14 15 16 17 18 19 20 21 22
1 2 3 10 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 20 21 22
1 2 3 11 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 21 22
1 2 3 12 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 21 22
1 2 3 13 4 5 6 7 8 9 10 11 12 14 15 16 17 18 19 20 21 22
1 2 3 14 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22
1 2 3 15 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22
1 2 3 16 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 20 21 22
1 2 3 17 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 22
1 2 3 18 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22
1 2 3 19 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22
1 2 3 20 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22
1 2 3 21 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 22
1 2 3 22 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
1 3 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
1 3 2 5 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
1 3 2 6 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
1 3 2 7 4 5 6 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
1 3 2 8 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22
1 3 2 9 4 5 6 7 8 10 11 12 13 14 15 16 17 18 19 20 21 22
1 3 2 10 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 20 21 22
1 3 2 11 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 21 22
1 3 2 12 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 21 22
1 3 2 13 4 5 6 7 8 9 10 11 12 14 15 16 17 18 19 20 21 22
1 3 2 14 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22
1 3 2 15 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22
1 3 2 16 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 20 21 22
1 3 2 17 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 22
1 3 2 18 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22
1 3 2 19 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22
1 3 2 20 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22
1 3 2 21 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 22
1 3 2 22 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
1 4 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
1 4 2 5 3 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
1 4 2 6 3 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
1 4 2 7 3 5 6 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
1 4 2 8 3 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22
1 4 2 9 3 5 6 7 8 10 11 12 13 14 15 16 17 18 19 20 21 22
1 4 2 10 3 5 6 7 8 9 11 12 13 14 15 16 17 18 19 20 21 22
1 4 2 11 3 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 21 22
1 4 2 12 3 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 21 22
1 4 2 13 3 5 6 7 8 9 10 11 12 14 15 16 17 18 19 20 21 22
1 4 2 14 3 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22
1 4 2 15 3 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22
1 4 2 16 3 5 6 7 8 9 10 11 12 13 14 15 17 18 19 20 21 22
1 4 2 17 3 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 22
1 4 2 18 3 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22
1 4 2 19 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22
1 4 2 20 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22
1 4 2 21 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 22
1 4 2 22 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
1 5 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
1 5 2 4 3 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
